"","logFC","AveExpr","t","P.Value","adj.P.Val"
"igf2bp3",-3.73676998496594,1.96928613510739,-20.0613157872246,1.56148602402497e-48,1.97356218576516e-44
"obsl1",-3.42743519438983,2.18589837644091,-15.0107085068534,4.24121106924294e-34,2.68023333520808e-30
"slc14a2",4.03140765739938,-2.08951765061425,14.8583295810795,1.19328641905143e-33,5.02731568346366e-30
"sybu",3.74966102947632,-1.72281212885021,12.7858906102151,1.63142323330258e-27,5.15488956142783e-24
"ripk4",-3.51411558033957,-2.48351008978652,-11.5541222351798,7.00060671667512e-24,1.76961336584114e-20
"ighe",3.58673753981166,8.86878252670313,11.1287816248333,1.22613288922092e-22,2.58284893114387e-19
"il25",3.29708356091486,-2.00814663782847,10.90715334045,5.40937460296578e-22,8.99114241510469e-19
"ighv3-23",2.80684366912486,4.45769294091034,10.8995584967179,5.69104670629302e-22,8.99114241510469e-19
"emx2",3.89253727844163,-2.28342803776667,10.3554137404581,2.1179386058974e-20,2.97429178221525e-17
"iglv1-40",2.69763146522741,8.52864276848564,10.1794247335202,6.75779453309069e-20,8.54117651037332e-17
"zmat1",2.83151324956809,-1.37229829754932,9.99225441313614,2.3078406761525e-19,2.65170893689922e-16
"sall4",-3.07603083290777,-2.35638418471565,-9.83099089443541,6.61542792439969e-19,6.96769946137398e-16
"ig gamma-3 chain c region ",3.18738697116267,8.557945510962,9.73445990542539,1.23961045979249e-18,1.20518743087056e-15
"kcns3",2.24129942273844,2.71894607251903,9.44907415246984,7.84716440255316e-18,7.08430792027638e-15
"igll5",2.51253248751557,10.4785620278571,9.24284870129257,2.94434169657423e-17,2.48090231353345e-14
"tlx2",2.71447739850909,-3.48086704358081,8.91882209884151,2.30300536981392e-16,1.81923030431738e-13
"slurp1",2.67768457792074,1.02733584582816,8.90266725789243,2.54992049923873e-16,1.89579089352225e-13
"ig gamma-2a chain c region secreted form ",2.89921571971309,5.48730672573701,8.82931756470538,4.04553530069264e-16,2.84064003696968e-13
"slc13a2",2.89838499093664,-1.01007700029021,8.79336740631079,5.06978257497181e-16,3.37247273500362e-13
"maneal",2.00100179755661,-0.0956946575665842,8.78512879614038,5.33862187624114e-16,3.37374209469059e-13
"hoxb7",2.31330755252165,-0.669198492849533,8.65421865678519,1.21029630027378e-15,7.28425473293348e-13
"ppfibp1",-2.37840215599865,0.216930264868273,-8.6391429424344,1.32951052940002e-15,7.63803799140309e-13
"tspan7",-2.27500405911642,1.3339698688661,-8.62922435737227,1.41422794908765e-15,7.77149002109513e-13
"dll1",-2.36506489658132,-0.516983470860325,-8.59111884101347,1.7925517462356e-15,9.44002563361323e-13
"ighg1",2.96741345893469,9.22372664896682,8.46542849187423,3.90609679528347e-15,1.97476629582351e-12
"fst",-2.30870563461939,1.93562488803779,-8.43022768860216,4.85411935398639e-15,2.35966209673208e-12
"ighv3-74",2.32021118112873,7.79443758300593,8.39057129387229,6.19762957030614e-15,2.90117926441109e-12
"pzp",3.43060288596753,-2.03500632108624,8.31911969040914,9.61360758718976e-15,4.33951379623183e-12
"ftcd",-2.76482200311718,-1.98440852199015,-8.18632795647727,2.16451254626452e-14,9.4335427835301e-12
"jchain",2.29118123945112,6.37449622056173,8.16671680533455,2.4389602350328e-14,1.02753394701932e-11
"mmp2",-2.20165984337573,0.447544104688415,-8.12330733619547,3.1751749100094e-14,1.29454953830996e-11
